Username,Astronomie,Besenfliegen,Geschichte der Zauberei,Kräuterkunde,Verteidigung gegen die dunklen Künste,Verwandlung,Zauberkunst,Zaubertränke
beige.angelfish,43,44,44,58,44,18,27,29
apricot.angelfish,22,46,49,57,58,61,42,51
plum.wombat,67,69,65,55,40,54,38,62
green.mite,65,42,49,50,61,66,49,79
blush.asp,43,29,51,47,43,36,39,46
amber.grasshopper,63,63,63,86,64,33,19,48
copper.chameleon,37,31,55,43,40,63,36,44
coffee.echidna,78,10,70,68,34,66,62,66
emerald.walrus,39,44,46,49,62,16,56,51
indigo.fly,53,58,63,63,57,14,39,47
tan.mockingbird,64,73,47,53,40,38,40,54
jade.amphibian,55,73,64,41,7,73,99,67
blush.goldfish,85,62,38,57,45,49,13,47
green.halibut,50,60,88,45,52,51,53,57
gold.xerinae,53,46,48,54,60,51,32,47
harlequin.bobcat,69,46,42,41,41,48,43,63
tomato.viper,77,47,43,62,42,48,34,56
coffee.pony,46,43,64,70,48,54,32,57
jade.partridge,51,66,61,67,31,54,41,71
olive.wildcat,67,79,62,53,62,24,50,78
azure.halibut,75,47,51,70,70,42,34,90
amethyst.hare,51,54,58,73,36,29,65,62
harlequin.pinniped,85,50,56,33,55,33,69,73
turquoise.tiger,31,46,55,62,62,54,78,57
black.swan,59,43,55,84,32,50,57,76
green.otter,59,39,48,66,71,44,40,69
red.pinniped,48,37,39,42,58,39,25,59
teal.goldfish,84,72,56,63,49,21,54,57
azure.toad,61,46,45,51,66,64,41,69
lime.crow,73,69,60,78,47,15,42,68
magenta.mongoose,53,57,52,57,40,50,83,65
emerald.flyingfish,55,35,51,32,34,62,49,76
jade.rodent,48,61,60,41,53,42,66,73
maroon.falcon,38,49,48,73,53,60,53,57
gray.fox,54,39,47,45,45,50,54,85
green.piranha,47,74,68,46,50,86,64,75
maroon.antlion,49,52,54,49,46,43,77,56
coral.pike,76,68,65,45,50,13,74,82
amber.caribou,78,33,70,45,68,44,64,57
pink.swallow,48,81,43,44,50,54,64,74
red.tahr,41,56,62,54,53,43,53,65
